MatrixSize,SparsityLevel,ExecutionTime,MemoryUsage,CPUUsage
10,50,1.000,0.08,0.000
50,50,14.000,0.17,0.000
100,50,57.000,0.67,0.000
200,50,339.000,1.91,0.000
300,50,2278.000,3.55,13.022
400,50,6360.000,7.69,11.696
10,80,0.000,0.03,11.696
50,80,0.000,0.07,11.696
100,80,4.000,0.25,11.696
200,80,48.000,0.89,11.696
300,80,337.000,1.98,11.696
400,80,1141.000,3.48,13.940
500,80,4682.000,5.77,22.114
600,80,14534.000,7.25,12.345
10,90,0.000,0.03,12.345
50,90,0.000,0.04,12.345
100,90,2.000,0.15,12.345
200,90,28.000,0.52,12.345
300,90,156.000,1.16,12.345
400,90,563.000,2.31,9.897
500,90,1399.000,3.29,8.300
600,90,3048.000,4.80,10.251
700,90,6321.000,5.97,11.547
